Speed,Vestad V80,Vestad V164,Siemens 82,Siemens 107,Repower 82,Nordex N90
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,2,101,42,80,64,35
5,97,461,136,238,159,175
6,255,902,276,474,314,352
7,459,1595,470,802,511,580
8,726,2513,727,1234,767,870
9,1004,3737,1043,1773,1096,1237
10,1330,4988,1394,2379,1439,1623
11,1627,5987,1738,2948,1700,2012
12,1772,6698,2015,3334,1912,2230
13,1797,6984,2183,3515,2000,2300
14,1802,6985,2260,3577,2040,2300
15,1802,6995,2288,3594,2050,2300
16,1802,6995,2297,3599,2050,2300
17,1802,6995,2299,3600,2050,2300
18,1802,6995,2300,3600,2050,2300
19,1802,6995,2300,3600,2050,2300
20,1802,6995,2300,3600,2050,2300
21,1802,6995,2300,3600,2050,2300
22,1802,6995,2300,3600,2050,2300
23,1802,6995,2300,3600,2050,2300
24,1800,6995,2300,3600,2050,2300
25,1800,6995,2300,3600,2050,2300